bloqueo,entropia,msi,bfr,rutas,pathconsec,entropiauso,porcuso,shf
0,4.809524,53.380952,0.055324,78,118.187233,2.062472,0.104167,0.295375
0,4.904762,53.095238,0.054048,78,109.250535,2.112773,0.104573,0.292212
0,5.0,56.52381,0.062259,79,106.303662,2.145214,0.106602,0.314251
0,5.095238,58.904762,0.066452,80,103.415469,2.245408,0.109848,0.328942
0,5.285714,61.0,0.070672,81,99.665017,2.558625,0.112284,0.344632
0,5.380952,61.190476,0.070409,82,98.422238,2.624608,0.113095,0.345227
0,5.380952,61.190476,0.06868,83,98.117744,2.651483,0.114719,0.341809
0,5.380952,62.52381,0.069001,84,97.292648,2.678406,0.118506,0.34471
0,5.571429,63.238095,0.070408,85,95.558617,2.889366,0.119318,0.353128
0,5.666667,63.666667,0.069995,86,90.59282,3.121229,0.120942,0.3544
0,5.666667,63.666667,0.067873,87,90.351698,3.154229,0.122835,0.34827
0,5.761905,65.47619,0.072875,88,89.061882,3.186234,0.123241,0.363306
0,5.857143,66.380952,0.073923,89,86.51651,3.472228,0.124865,0.368935
0,5.857143,66.380952,0.073093,90,86.335692,3.533776,0.125676,0.366586
0,5.857143,66.761905,0.071918,91,85.504597,3.533776,0.127841,0.364902
0,6.047619,68.809524,0.075854,92,83.758329,3.797889,0.130276,0.380838
0,6.190476,69.714286,0.078312,92,79.612093,3.995933,0.130682,0.387953
0,6.095238,69.714286,0.077436,93,80.514545,4.001698,0.131494,0.384691
0,6.190476,69.809524,0.076556,94,79.891271,4.118771,0.132576,0.383305
0,6.380952,70.380952,0.07753,95,77.747859,4.282282,0.133387,0.391072
0,6.380952,71.238095,0.077772,96,77.306226,4.314721,0.135823,0.392844
0,6.571429,73.142857,0.082321,97,74.064485,4.503499,0.137446,0.407742
0,6.571429,73.142857,0.081829,98,73.993721,4.573151,0.137852,0.406371
0,6.666667,73.904762,0.082565,99,73.360276,4.583157,0.139475,0.410378
0,6.666667,73.380952,0.081137,99,71.534686,4.518719,0.139205,0.404703
0,6.857143,75.857143,0.087902,100,71.030855,4.649605,0.140287,0.426589
0,7.047619,75.857143,0.086119,101,69.15126,4.839368,0.14191,0.425194
0,7.047619,77.952381,0.095784,99,70.44514,4.674567,0.13934,0.441937
0,7.047619,77.952381,0.095657,100,70.42058,4.674567,0.139475,0.441482
0,7.142857,77.952381,0.094195,101,69.96828,4.93684,0.140828,0.439191
0,7.238095,77.952381,0.096942,99,69.073784,4.958856,0.138528,0.446615
0,7.333333,78.619048,0.097745,100,67.705724,5.160596,0.139881,0.450356
0,7.428571,80.285714,0.101123,101,66.766497,5.289007,0.141775,0.46177
0,7.52381,80.571429,0.100357,102,65.296833,5.316453,0.143398,0.464851
0,7.428571,80.571429,0.099712,103,66.135789,5.205031,0.144075,0.461973
0,7.428571,80.571429,0.098884,104,66.078066,5.205031,0.144886,0.459057
0,7.428571,81.714286,0.099286,105,65.672849,5.320498,0.148133,0.461442
0,7.619048,84.904762,0.106389,106,65.05328,5.392876,0.15138,0.483328
0,7.619048,84.904762,0.105451,107,64.968482,5.392876,0.152192,0.480069
0,7.809524,87.857143,0.11175,108,62.103708,5.72561,0.155438,0.500594
0,7.714286,87.857143,0.111322,109,61.83883,5.646581,0.155844,0.502966
0,7.619048,87.857143,0.110668,109,62.03332,5.55876,0.156385,0.500802
0,7.619048,88.428571,0.110889,110,61.855948,5.634705,0.158009,0.501824
0,7.52381,88.428571,0.11002,111,61.942262,5.623739,0.15882,0.49923
0,7.619048,88.428571,0.108739,112,61.735263,5.727502,0.160173,0.498443
0,7.52381,89.428571,0.110895,113,61.057307,5.745419,0.160985,0.505614
0,7.52381,89.428571,0.10957,114,60.956463,5.783368,0.162338,0.502832
0,7.52381,89.47619,0.109595,114,61.002611,5.707294,0.162608,0.502807
0,7.619048,90.047619,0.109218,115,60.634992,5.84883,0.164773,0.503784
0,7.714286,90.047619,0.107913,116,59.552117,5.975364,0.16599,0.501038
