182,458,10.470161431646815,22,170
208,487,10.251090808552973,25,198
230,485,10.065144122723567,27,155
245,485,10.363442689462971,23,266
301,492,10.444237679010413,13,192
324,497,10.530449191194464,23,152
362,490,11.511152426090348,27,163
390,519,12.694115839316822,12,223
405,517,0,-1,0
412,511,10.266866976871299,20,382
420,533,0,-1,0
422,532,0,-1,0
423,536,0,-1,0
425,535,0,-1,0
431,537,10.126490677286071,5,499
441,563,0,-1,0
443,578,0,-1,0
445,574,0,-1,0
446,571,0,-1,0
449,553,0,-1,0
450,552,10.054764573948091,0,542
470,562,10.22234842723752,14,452
478,557,0,-1,0
483,559,10.122941974367336,0,427
501,564,10.60840238971005,29,389
513,566,0,-1,0
514,562,0,-1,0
515,568,10.01244624327282,12,526
521,559,0,-1,0
524,556,0,-1,0
529,546,0,-1,0
530,549,10.136535804726648,15,481
544,567,0,-1,0
548,577,0,-1,0
550,578,10.094146045081757,3,500
559,566,0,-1,0
564,563,10.552289579145508,8,474
574,567,10.356648009028035,9,542
587,574,0,-1,0
588,570,11.052368304335971,26,427
612,589,11.048300615384605,22,474
634,567,10.12864140155456,16,341
656,544,10.689731667061878,9,313
668,560,0,-1,0
681,543,10.429230362113586,26,389
687,559,0,-1,0
694,539,10.75953886848005,27,331
705,558,10.31016661305199,19,311
715,551,0,-1,0
722,556,10.461225238044463,3,391
729,565,0,-1,0
731,568,0,-1,0
732,573,0,-1,0
733,570,10.769121357691333,2,406
740,581,0,-1,0
742,580,0,-1,0
743,579,0,-1,0
744,588,0,-1,0
745,586,0,-1,0
746,578,0,-1,0
747,581,0,-1,0
750,579,0,-1,0
751,583,0,-1,0
754,580,10.04388796749862,20,497
763,570,0,-1,0
769,553,10.9893407544495,15,497
794,550,10.10906960558988,17,253
803,561,12.187003776170286,7,499
844,536,10.621087408692333,23,172
857,539,11.647180641077995,17,356
888,535,10.168610176918577,26,364
906,561,10.04156144354863,13,408
925,550,10.334255627009654,24,443
949,542,10.56358597523203,10,408
966,531,10.535727615796688,13,405
985,554,0,-1,0
986,559,0,-1,0
987,556,0,-1,0
988,558,10.543407604742242,14,544
993,577,0,-1,0
995,575,0,-1,0
996,573,0,-1,0
998,565,0,-1,0
