1,10,0,0.571429,2.380952,0.0,10,343.504132,0.0,0.008387,0.008296,44,0,0.042692
2,3,0,0.761905,3.619048,0.001633,13,338.564824,0.0,0.010552,0.012035,12,0,0.039856
3,3,0,1.047619,5.47619,0.002474,16,312.542291,0.0,0.015152,0.023956,12,0,0.02015
4,3,0,1.238095,8.47619,0.005162,19,296.247826,0.012645,0.021104,0.041249,18,0,0.013722
5,4,0,1.666667,10.428571,0.005878,23,263.514301,0.117548,0.02638,0.047778,17,0,0.005798
6,7,0,2.238095,15.952381,0.009708,29,233.206757,0.221508,0.038826,0.070629,40,0,0.00307
7,5,0,2.52381,19.952381,0.013995,34,215.034785,0.417682,0.046131,0.09515,26,0,0.002054
8,5,0,2.952381,24.0,0.022101,38,195.202662,0.555129,0.050054,0.112038,24,0,0.001293
9,5,0,3.52381,31.857143,0.036,42,162.589098,0.863727,0.059524,0.166753,25,0,6.06E-4
10,3,0,3.809524,35.380952,0.041755,45,158.804307,0.936503,0.064394,0.192302,13,0,6.28E-4
11,6,0,3.571429,36.52381,0.0398,51,173.929743,0.959899,0.069535,0.192568,24,0,0.001037
12,9,0,3.857143,41.904762,0.043136,59,146.478334,1.230548,0.081981,0.213648,48,0,5.5E-4
13,4,0,4.0,43.904762,0.042248,63,141.519523,1.357827,0.088745,0.23335,22,0,5.4E-4
14,4,0,4.095238,45.238095,0.042544,67,140.311013,1.414974,0.092397,0.238045,14,0,5.64E-4
15,3,0,4.190476,45.714286,0.040318,70,131.682195,1.532863,0.095915,0.234524,19,0,4.6E-4
16,8,0,4.904762,52.904762,0.05518,77,109.841186,2.089137,0.102949,0.29441,33,0,3.1E-4
17,4,0,5.285714,61.0,0.070672,81,99.665017,2.558625,0.112284,0.344632,21,0,2.87E-4
18,4,0,5.571429,63.238095,0.070408,85,95.558617,2.889366,0.119318,0.353128,18,0,3.04E-4
19,7,0,6.095238,68.809524,0.076571,91,80.538546,3.814777,0.1296,0.380838,33,0,2.54E-4
20,8,0,6.666667,73.380952,0.082122,98,71.660745,4.518719,0.138393,0.407962,29,0,2.57E-4
21,3,0,6.952381,75.857143,0.09012,98,72.728801,4.660452,0.138258,0.426261,8,0,2.91E-4
22,3,0,7.238095,77.952381,0.097196,98,69.128622,4.958856,0.138258,0.447756,10,0,2.82E-4
23,3,0,7.428571,80.285714,0.101123,101,66.766497,5.289007,0.141775,0.46177,14,0,2.92E-4
24,3,0,7.428571,80.571429,0.098884,104,66.078066,5.205031,0.144886,0.459057,17,0,2.99E-4
25,5,0,7.714286,87.857143,0.111612,108,61.8674,5.597296,0.155574,0.504107,26,0,3.33E-4
26,6,0,7.52381,89.190476,0.110409,113,61.198505,5.631389,0.160985,0.504406,27,0,3.32E-4
