1,10,0,0.571,2.381,0.0,10,111.688,0.046,0.008,0.0
2,3,0,0.762,3.619,0.005,13,109.414,0.055,0.011,0.0
3,3,0,1.048,5.476,0.007,16,99.342,0.134,0.015,0.0
4,3,0,1.238,8.476,0.016,19,92.174,0.243,0.021,0.0
5,4,0,1.667,10.429,0.018,23,79.743,0.675,0.026,0.0
6,7,0,2.238,15.952,0.031,29,66.966,1.131,0.039,0.0
7,5,0,2.524,19.952,0.045,34,59.608,1.838,0.046,0.0
8,5,0,2.952,24.0,0.073,38,53.855,2.298,0.05,0.0
9,5,0,3.524,31.857,0.122,42,43.491,3.199,0.06,0.0
10,3,0,3.81,35.381,0.143,45,41.708,3.614,0.064,0.0
11,6,0,3.571,36.524,0.137,51,44.671,3.473,0.07,0.0
12,9,0,3.857,41.905,0.152,59,34.464,4.352,0.082,0.0
13,4,0,4.0,43.905,0.152,63,32.11,4.911,0.089,0.0
14,4,0,4.095,45.238,0.154,67,31.219,5.048,0.092,0.0
15,3,0,4.19,45.714,0.147,70,27.977,5.347,0.096,0.0
16,8,0,4.905,52.905,0.205,77,22.776,7.075,0.103,0.0
17,4,0,5.286,61.0,0.26,81,19.617,8.528,0.112,0.0
18,4,0,5.571,63.238,0.264,85,18.145,9.635,0.119,0.0
19,7,0,6.095,68.81,0.289,91,13.362,12.606,0.13,0.0
20,8,0,6.667,73.381,0.324,98,11.671,14.586,0.138,0.0
21,3,0,6.952,75.857,0.35,98,12.147,15.025,0.138,0.0
22,3,0,7.238,77.952,0.378,98,11.597,15.885,0.138,0.0
23,3,0,7.429,80.286,0.398,101,11.126,17.145,0.142,0.0
24,3,0,7.429,80.571,0.396,104,10.643,17.108,0.145,0.0
25,5,0,7.714,87.857,0.458,108,9.15,18.253,0.156,0.0
26,6,0,7.524,89.19,0.473,113,8.589,18.098,0.161,0.0
27,8,0,8.476,97.619,0.522,119,6.784,22.423,0.176,0.0
28,6,0,8.762,100.524,0.545,125,5.822,25.549,0.185,0.0
29,3,0,8.762,101.714,0.528,127,5.418,26.852,0.188,0.0
30,3,0,8.857,102.0,0.542,130,5.357,27.179,0.19,0.0
31,5,1,9.238,104.095,0.571,129,4.651,28.468,0.188,0.0
32,8,1,9.429,106.0,0.547,135,4.124,28.213,0.195,0.0
33,3,1,9.81,107.857,0.536,136,3.991,30.297,0.196,0.0
34,4,1,10.286,109.095,0.535,139,3.867,31.557,0.198,0.0
35,6,3,10.667,109.429,0.537,141,3.544,34.436,0.202,0.0
36,3,0,10.952,109.429,0.539,144,3.35,35.64,0.207,0.0
37,9,1,11.524,111.667,0.569,149,3.44,39.27,0.214,0.0
38,0,0,11.619,111.667,0.567,146,3.631,38.542,0.21,0.0
39,6,0,11.81,111.762,0.592,150,3.458,39.552,0.214,0.0
40,2,0,11.905,114.429,0.595,152,3.342,39.982,0.217,0.0
41,2,0,11.81,114.429,0.599,154,3.358,39.592,0.217,0.0
42,3,0,12.19,114.429,0.598,155,3.276,40.438,0.216,0.0
43,7,2,12.381,114.429,0.62,160,2.702,41.285,0.221,0.001
44,7,2,12.286,114.762,0.603,163,2.639,41.455,0.223,0.001
45,4,1,12.667,114.762,0.619,164,2.652,42.163,0.22,0.001
46,8,1,12.714,114.905,0.595,168,2.571,43.404,0.226,0.001
47,3,2,13.19,114.905,0.601,165,2.569,44.345,0.224,0.001
48,10,4,13.381,114.905,0.598,169,2.182,44.774,0.23,0.001
49,8,4,13.19,114.905,0.598,171,2.12,43.755,0.23,0.001
50,2,1,13.667,114.905,0.598,169,2.18,44.732,0.226,0.001
51,7,2,13.476,116.286,0.594,173,2.108,44.221,0.229,0.001
52,4,1,13.381,116.286,0.592,175,2.119,43.717,0.229,0.001
53,6,1,13.19,114.619,0.611,178,2.068,43.24,0.23,0.001
54,2,1,13.095,114.619,0.608,179,2.009,43.071,0.232,0.001
55,5,2,13.476,114.619,0.597,178,2.006,42.305,0.226,0.001
56,6,0,13.476,114.619,0.592,183,1.717,43.674,0.231,0.001
57,5,2,13.905,114.619,0.621,184,1.697,44.751,0.232,0.001
58,5,3,14.476,114.619,0.622,185,1.619,47.575,0.234,0.001
59,7,3,14.857,115.667,0.633,186,1.524,46.977,0.235,0.001
60,8,4,14.714,115.667,0.63,188,1.589,46.329,0.232,0.001
61,1,1,14.905,115.667,0.641,184,1.684,46.353,0.225,0.001
62,6,0,15.095,115.667,0.678,189,1.391,48.731,0.232,0.001
63,6,2,14.81,115.667,0.652,191,1.377,48.524,0.233,0.001
64,5,2,15.095,115.667,0.66,192,1.324,49.028,0.234,0.001
65,3,1,15.095,115.667,0.666,190,1.318,49.181,0.233,0.001
66,7,0,15.333,115.667,0.658,195,1.301,50.34,0.235,0.002
67,3,1,15.143,115.667,0.669,194,1.249,50.88,0.235,0.001
68,6,3,15.81,115.667,0.677,194,1.352,50.955,0.231,0.002
69,6,5,15.905,115.667,0.669,194,1.369,51.531,0.231,0.002
70,5,3,16.095,115.667,0.658,193,1.418,51.429,0.229,0.002
