1,8,0,0.419,1.395,0.0,7,347.115,0.0,0.005,0.044
2,12,0,1.233,6.0,0.005,18,293.119,0.307,0.014,0.011
3,7,0,1.721,9.744,0.009,25,251.654,1.034,0.021,0.004
4,13,0,2.302,15.907,0.015,37,213.937,2.685,0.033,0.002
5,6,0,2.488,17.535,0.015,43,201.913,3.327,0.038,0.001
6,7,0,2.953,21.651,0.023,50,187.033,4.199,0.043,0.001
7,5,0,3.14,24.0,0.027,55,182.761,4.466,0.045,0.001
8,5,0,3.419,25.372,0.03,58,166.483,5.544,0.046,0.001
9,3,0,3.698,27.605,0.036,60,161.548,5.871,0.047,0.001
10,5,0,3.837,28.977,0.036,65,155.044,6.603,0.051,0.0
11,11,0,4.209,35.535,0.045,75,137.815,8.835,0.061,0.0
12,8,0,4.674,40.814,0.052,83,122.185,11.669,0.07,0.0
13,11,0,5.326,43.512,0.053,92,106.896,14.482,0.077,0.0
14,13,0,5.558,49.907,0.058,105,96.85,18.013,0.091,0.0
15,8,0,6.07,55.674,0.069,111,90.53,20.669,0.098,0.0
16,8,0,6.116,57.395,0.07,119,92.849,22.53,0.102,0.0
17,9,0,6.628,60.791,0.077,126,82.046,25.827,0.106,0.0
18,11,0,6.907,62.837,0.078,135,76.076,28.972,0.111,0.0
19,8,0,7.279,66.93,0.082,142,71.59,33.607,0.12,0.0
20,8,0,7.977,73.791,0.093,148,64.31,40.619,0.131,0.0
21,6,0,8.256,80.791,0.11,153,59.887,43.639,0.136,0.0
22,4,0,8.349,81.628,0.107,157,58.575,45.343,0.141,0.0
23,6,0,8.721,84.488,0.111,161,55.373,48.544,0.147,0.0
24,7,0,9.047,85.419,0.113,165,53.528,51.343,0.148,0.0
25,7,0,9.465,87.372,0.12,168,50.972,55.561,0.148,0.0
26,11,0,10.023,93.349,0.129,174,47.792,64.516,0.159,0.0
27,10,0,10.488,97.977,0.136,184,44.557,70.474,0.166,0.001
28,7,0,10.767,101.93,0.141,190,42.888,75.085,0.174,0.001
29,8,0,11.326,106.0,0.153,194,40.966,77.676,0.176,0.001
30,6,0,11.837,110.837,0.166,197,40.708,84.785,0.18,0.001
31,7,0,11.884,112.605,0.168,203,40.293,87.277,0.183,0.001
32,7,0,12.116,113.488,0.165,209,39.358,91.09,0.189,0.001
33,11,0,12.256,117.814,0.174,216,39.24,93.746,0.194,0.001
34,11,0,12.605,123.628,0.187,225,36.85,103.406,0.202,0.001
35,12,0,13.023,127.767,0.195,235,35.412,109.696,0.208,0.002
36,8,0,13.372,128.419,0.199,239,33.284,112.584,0.207,0.002
37,11,0,13.744,135.302,0.209,250,31.087,124.602,0.219,0.002
38,7,0,14.0,139.186,0.22,253,29.648,127.054,0.222,0.002
39,7,0,14.116,140.628,0.221,259,29.478,130.34,0.225,0.002
40,5,0,14.279,140.0,0.218,262,29.215,136.083,0.226,0.002
41,8,0,14.698,147.279,0.237,269,27.643,143.285,0.234,0.003
42,7,0,15.186,151.651,0.249,273,26.842,151.304,0.239,0.004
43,4,0,15.116,153.698,0.252,276,26.589,152.291,0.243,0.004
44,8,0,15.558,160.907,0.273,279,24.767,161.541,0.248,0.004
45,9,0,16.14,168.163,0.291,285,23.614,173.563,0.257,0.006
46,10,0,16.907,171.047,0.303,290,22.893,180.209,0.257,0.007
47,9,0,17.14,173.14,0.3,298,21.877,190.09,0.267,0.009
48,9,0,17.0,173.721,0.298,305,21.839,189.897,0.271,0.009
49,10,0,17.186,176.698,0.296,314,20.832,203.685,0.283,0.011
50,10,0,17.605,182.209,0.312,321,19.479,211.512,0.289,0.013
51,8,0,18.256,185.907,0.324,324,18.531,223.252,0.293,0.016
52,5,0,18.605,186.395,0.33,324,18.548,227.287,0.29,0.017
53,4,0,18.605,186.326,0.331,325,18.511,224.532,0.289,0.017
54,6,0,18.419,186.558,0.33,326,18.617,220.74,0.29,0.016
55,6,0,18.558,186.558,0.328,328,18.393,224.011,0.293,0.017
56,8,0,19.023,187.14,0.329,329,18.081,229.154,0.294,0.02
57,7,0,18.837,186.581,0.324,334,18.377,226.813,0.296,0.02
58,8,0,19.163,189.163,0.329,340,17.712,231.391,0.302,0.024
59,10,0,19.814,191.651,0.335,347,17.146,244.825,0.308,0.031
60,12,0,20.465,203.674,0.374,356,16.075,263.174,0.317,0.041
61,11,0,21.349,208.651,0.388,360,15.105,285.433,0.324,0.057
62,11,0,21.907,211.233,0.392,367,14.622,296.241,0.332,0.073
63,10,0,22.279,214.488,0.405,371,14.401,301.994,0.333,0.082
64,9,0,22.279,217.163,0.409,378,14.225,305.735,0.338,0.088
65,13,0,22.558,220.233,0.412,387,13.682,316.883,0.349,0.108
66,4,0,22.558,220.233,0.41,390,13.575,316.348,0.351,0.111
67,10,0,23.302,223.07,0.418,395,12.918,328.478,0.357,0.143
68,7,0,23.349,223.302,0.423,396,12.931,327.275,0.354,0.14
69,7,0,23.349,226.651,0.436,399,12.908,327.62,0.357,0.146
70,6,0,23.86,229.395,0.447,400,12.648,341.026,0.36,0.172
71,7,0,23.953,229.86,0.452,402,12.662,346.803,0.359,0.174
