1,10,0,0.571,2.381,0.0,10,343.504,0.0,0.008,0.043
2,3,0,0.762,3.619,0.002,13,338.565,0.0,0.011,0.04
3,3,0,1.048,5.476,0.002,16,312.542,0.0,0.015,0.02
4,3,0,1.238,8.476,0.005,19,296.248,0.013,0.021,0.014
5,4,0,1.667,10.429,0.006,23,263.514,0.118,0.026,0.006
6,7,0,2.238,15.952,0.01,29,233.207,0.222,0.039,0.003
7,5,0,2.524,19.952,0.014,34,215.035,0.418,0.046,0.002
8,5,0,2.952,24.0,0.022,38,195.203,0.555,0.05,0.001
9,5,0,3.524,31.857,0.036,42,162.589,0.864,0.06,0.001
10,3,0,3.81,35.381,0.042,45,158.804,0.937,0.064,0.001
11,6,0,3.571,36.524,0.04,51,173.93,0.96,0.07,0.001
12,9,0,3.857,41.905,0.043,59,146.478,1.231,0.082,0.001
13,4,0,4.0,43.905,0.042,63,141.52,1.358,0.089,0.001
14,4,0,4.095,45.238,0.043,67,140.311,1.415,0.092,0.001
15,3,0,4.19,45.714,0.04,70,131.682,1.533,0.096,0.0
16,8,0,4.905,52.905,0.055,77,109.841,2.089,0.103,0.0
17,4,0,5.286,61.0,0.071,81,99.665,2.559,0.112,0.0
18,4,0,5.571,63.238,0.07,85,95.559,2.889,0.119,0.0
19,7,0,6.095,68.81,0.077,91,80.539,3.815,0.13,0.0
20,8,0,6.667,73.381,0.082,98,71.661,4.519,0.138,0.0
21,3,0,6.952,75.857,0.09,98,72.729,4.66,0.138,0.0
22,3,0,7.238,77.952,0.097,98,69.129,4.959,0.138,0.0
23,3,0,7.429,80.286,0.101,101,66.766,5.289,0.142,0.0
24,3,0,7.429,80.571,0.099,104,66.078,5.205,0.145,0.0
25,5,0,7.714,87.857,0.112,108,61.867,5.597,0.156,0.0
26,6,0,7.524,89.19,0.11,113,61.199,5.631,0.161,0.0
27,8,0,8.286,97.667,0.124,119,55.276,6.449,0.174,0.0
28,6,0,8.476,100.857,0.125,125,53.093,7.364,0.183,0.0
29,3,0,8.476,102.048,0.127,127,52.108,7.759,0.186,0.0
30,3,0,8.381,102.667,0.125,130,52.314,7.808,0.189,0.0
31,5,0,9.048,103.143,0.129,130,47.378,8.358,0.187,0.0
32,8,0,9.429,110.571,0.146,137,43.727,8.62,0.195,0.001
33,3,0,9.905,115.476,0.157,139,41.175,9.263,0.2,0.001
34,4,0,10.286,120.19,0.17,143,39.305,9.944,0.204,0.001
35,6,0,10.857,126.571,0.183,148,37.035,10.894,0.214,0.001
36,3,0,10.857,127.048,0.181,151,36.39,11.367,0.218,0.001
37,9,0,11.429,127.048,0.169,157,35.48,12.927,0.228,0.001
38,0,0,11.619,127.048,0.174,154,35.317,12.633,0.224,0.001
39,6,0,12.19,127.714,0.176,157,34.887,13.188,0.225,0.002
40,2,0,12.095,128.571,0.175,159,35.012,13.193,0.229,0.002
41,2,0,12.095,128.571,0.174,161,34.695,13.338,0.229,0.002
42,3,0,12.19,128.571,0.176,162,35.16,13.306,0.228,0.002
43,7,0,12.095,124.667,0.154,168,35.418,13.797,0.234,0.002
44,7,0,12.19,127.81,0.16,173,37.553,14.43,0.24,0.002
45,4,0,12.571,130.81,0.173,175,35.785,15.135,0.238,0.002
46,8,0,12.81,133.476,0.175,180,34.21,15.339,0.245,0.002
47,3,0,13.095,133.714,0.174,179,31.519,15.503,0.247,0.003
48,10,0,13.571,141.619,0.188,187,28.737,16.461,0.261,0.003
49,8,0,14.524,151.381,0.217,192,24.593,19.511,0.27,0.004
50,2,0,15.095,151.381,0.223,190,23.836,19.866,0.264,0.005
51,7,0,15.19,152.095,0.218,196,23.482,20.498,0.272,0.005
52,4,0,15.19,152.238,0.22,198,23.226,20.739,0.271,0.005
53,6,0,15.667,153.476,0.22,202,22.27,22.074,0.275,0.006
54,2,0,15.571,154.048,0.222,203,22.237,21.845,0.276,0.006
55,5,0,16.048,157.381,0.236,204,21.778,22.012,0.277,0.007
56,6,0,16.048,158.429,0.233,209,21.528,22.292,0.282,0.008
57,5,0,16.476,161.143,0.239,212,20.899,23.193,0.286,0.009
58,5,0,16.952,162.952,0.239,215,19.869,25.07,0.294,0.011
59,7,0,17.238,164.476,0.24,218,19.474,25.929,0.297,0.013
60,8,0,17.619,167.143,0.245,224,18.936,26.138,0.302,0.015
61,1,0,17.81,168.762,0.257,221,18.915,26.042,0.297,0.015
62,6,0,17.619,168.952,0.251,225,18.529,26.176,0.302,0.015
63,6,0,17.524,169.381,0.249,228,18.627,26.354,0.306,0.016
64,5,0,18.0,171.667,0.252,231,18.119,27.383,0.312,0.019
65,3,0,18.0,171.667,0.251,230,18.114,27.576,0.313,0.02
66,7,0,18.095,173.048,0.255,235,17.946,27.904,0.314,0.02
67,3,0,18.381,175.048,0.263,235,17.685,29.386,0.315,0.022
68,6,0,19.238,181.524,0.283,238,16.778,30.052,0.319,0.03
69,6,0,19.714,189.0,0.303,242,15.731,32.345,0.328,0.038
70,5,0,20.19,191.905,0.31,244,15.032,33.243,0.333,0.046
71,8,0,20.571,193.0,0.305,252,14.374,34.859,0.343,0.057
72,8,0,20.857,199.238,0.322,257,14.048,35.877,0.348,0.067
73,5,0,20.571,200.524,0.331,257,14.179,35.491,0.347,0.06
74,6,0,20.667,202.143,0.336,258,13.998,35.738,0.349,0.064
75,7,0,20.524,204.476,0.341,262,13.878,35.873,0.354,0.065
76,5,0,20.429,204.476,0.337,264,13.427,36.666,0.358,0.066
77,5,0,20.429,204.476,0.335,266,13.25,36.4,0.36,0.068
78,5,0,20.905,204.524,0.339,268,13.022,36.87,0.357,0.074
79,3,0,20.905,205.667,0.34,268,12.917,36.479,0.361,0.078
80,3,0,20.81,206.762,0.342,271,12.889,37.202,0.364,0.079
81,2,0,20.476,206.762,0.35,269,13.17,35.868,0.357,0.066
82,3,0,20.952,208.429,0.36,269,12.872,36.072,0.355,0.073
83,8,0,20.762,210.667,0.365,275,12.875,36.651,0.361,0.074
84,2,0,20.762,210.952,0.367,275,12.876,36.754,0.361,0.074
85,6,0,20.571,212.905,0.366,279,12.622,37.924,0.37,0.079
86,5,0,20.571,214.19,0.364,282,12.299,39.014,0.376,0.085
87,5,0,21.143,215.762,0.367,281,11.621,41.278,0.38,0.103
88,4,0,21.333,219.762,0.375,284,11.271,42.861,0.39,0.123
89,9,0,22.048,225.333,0.39,291,10.488,45.62,0.399,0.164
90,5,0,22.429,226.19,0.395,292,10.246,46.157,0.4,0.182
91,3,0,22.952,226.762,0.401,290,10.146,46.662,0.397,0.199
92,5,0,23.333,229.143,0.406,290,10.062,46.806,0.402,0.231
93,5,0,23.952,230.429,0.412,288,9.637,48.157,0.402,0.264
94,5,0,24.143,232.476,0.419,290,9.736,47.659,0.403,0.281
95,5,0,24.333,233.619,0.425,292,9.731,48.004,0.406,0.3
96,1,0,24.429,233.619,0.427,289,9.888,46.683,0.402,0.297
97,5,0,24.619,234.667,0.429,291,9.959,47.061,0.404,0.315
98,3,0,25.19,235.143,0.43,290,9.701,48.43,0.407,0.362
99,5,0,25.19,235.286,0.428,292,9.636,48.739,0.408,0.366
100,5,0,25.286,237.048,0.428,295,9.495,48.942,0.416,0.401
101,4,0,25.857,238.048,0.43,295,8.978,51.442,0.419,0.452
102,7,0,25.857,238.048,0.427,299,8.655,52.078,0.424,0.467
103,4,0,26.048,239.286,0.437,297,8.91,51.223,0.421,0.472
104,4,0,26.714,241.333,0.449,296,8.752,52.721,0.42,0.518
105,5,0,26.619,244.286,0.464,297,8.756,52.811,0.422,0.517
106,4,0,26.619,246.857,0.476,295,8.552,54.222,0.422,0.517
107,2,0,27.095,246.762,0.479,293,8.401,55.336,0.418,0.54
108,8,0,27.0,246.762,0.475,297,8.326,55.403,0.424,0.551
